order_id,distance_km,item_count,prep_time_min,rider_rating,traffic_density,is_late
ORD-1000,4.807211366744669,12,7.511282567872926,3.7284943841968032,Medium,1
ORD-1001,11.433214523714035,14,3.9887894107713144,3.899252018773306,High,1
ORD-1002,8.917930330831158,8,5.058062602425803,3.5330403818357254,High,1
ORD-1003,7.384572568265921,3,13.300375120463682,4.374886238684173,High,1
ORD-1004,2.29421436508802,8,8.147595553231369,4.763346119515922,High,0
ORD-1005,2.29393698386633,5,8.95965532395459,4.323470674162463,High,0
ORD-1006,1.1679615399342937,1,4.319797547961038,3.8289109428858135,Low,0
ORD-1007,10.461025676411754,7,6.059533218634348,3.550503767320809,Low,1
ORD-1008,7.4128226350469015,5,4.993200189562309,3.8219421098882043,Low,0
ORD-1009,8.642834644654522,6,4.680420138739543,4.124182142106639,Medium,1
ORD-1010,0.7367216844017281,6,10.293490313107611,4.639417143049695,High,0
ORD-1011,11.653963299862935,8,5.339490019394292,3.781764278806661,Low,1
ORD-1012,10.07309036920485,9,10.21620131826544,4.579687180032029,Medium,1
ORD-1013,2.9418997728001757,2,2.759909983411201,4.800400202527825,Low,0
ORD-1014,2.590987122881657,9,3.843067115852324,4.180920272162536,Low,0
ORD-1015,2.609151863314489,12,5.56902330200163,4.73214798746389,High,0
ORD-1016,3.998785794034684,11,9.761609919643991,4.331986022052643,Medium,1
ORD-1017,6.534698963770735,10,10.785936186135888,4.455636255621357,High,1
ORD-1018,5.467367714384332,9,7.755320568133852,4.289417690507304,High,1
ORD-1019,3.849135112277482,13,7.795281889503976,4.1947590751270125,Low,1
ORD-1020,7.536308289307364,10,11.418719068182035,3.851980162663774,High,1
ORD-1021,2.104179397498481,10,2.205674192952572,3.954791089191569,Medium,0
ORD-1022,3.859663458155009,7,6.434170318164867,3.9349551784154135,High,0
ORD-1023,4.713161197877454,1,12.643191742550027,4.344933396430722,High,1
ORD-1024,5.744804818495913,7,9.84185233277384,3.679930539535835,High,1
ORD-1025,9.529523556019656,10,6.383952725820465,4.875187536053502,Low,1
ORD-1026,2.796248494821137,5,13.771822300285761,4.58098271792467,Medium,1
ORD-1027,6.413696041756533,6,12.044095456841973,4.102168446369791,Low,1
ORD-1028,7.312767541913488,10,5.4436408140775345,3.737936216789567,Low,1
ORD-1029,1.0341797462799738,7,10.38876788783432,4.822988254582453,Low,0
ORD-1030,7.486765796866541,14,9.744759466456436,4.735667135151748,Low,1
ORD-1031,2.461027422403853,5,7.215442882506775,4.582582329075769,Low,0
ORD-1032,1.2480933193307144,7,6.770429029662409,3.9073205711168635,Medium,0
ORD-1033,11.412183678413331,9,6.466286172084152,4.103669956150504,High,1
ORD-1034,11.604768380357433,3,10.023025184143409,3.654122378678635,Low,1
ORD-1035,9.796569503339303,8,7.751329174248704,3.7835592870912977,Low,1
ORD-1036,4.003058345493763,2,12.814220472268486,4.6745249559751,Medium,1
ORD-1037,1.6232293110734144,11,10.704834009741504,4.572558078276026,Medium,1
ORD-1038,8.368679804889805,7,2.9091108742226437,4.390228644463902,High,0
ORD-1039,5.561753678005415,13,10.32218690976616,4.843590088889259,Medium,1
ORD-1040,1.9034397007149564,2,5.5249166745024025,4.374899776719568,High,0
ORD-1041,6.194534466279607,14,9.706555891494496,4.200451999945416,Low,1
ORD-1042,0.8954679928250115,4,10.841715104344868,4.010556119458644,Low,0
ORD-1043,10.957184623905993,7,5.000779459002157,4.9106727586042584,High,1
